"text" "favorited" "favoriteCount" "replyToSN" "created" "truncated" "replyToSID" "id" "replyToUID" "statusSource" "screenName" "retweetCount" "isRetweet" "retweeted" "longitude" "latitude"
"Acrylic Flower Clutches Purse https://t.co/4lbUb2qhUH 36.64
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:04:49 FALSE NA "1444710040498319360" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "hanaayeagerr" 2556 TRUE FALSE NA NA
"Jeff Bezos on learning from failure: ‘Whatever your goals are, don’t give up no matter how hard it gets’

Even Jeff… https://t.co/S8lo8WCkpY" FALSE 0 NA 2021-10-03 17:04:49 TRUE NA "1444710037822320644" NA "<a href=\"https://www.blog2social.com\" rel=\"nofollow\">Blog2Social APP</a>" "BalkantimesPR" 0 FALSE FALSE NA NA
"RT @gsrescueelite: Katie is reminding everyone who shops online to use Easy Fundraising and Amazon Smile as a % of your sale is donated to…" FALSE 0 NA 2021-10-03 17:04:34 FALSE NA "1444709976283418627" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "MsTKIndeed" 26 TRUE FALSE NA NA
"RT @pnso_official: Ta-da, please say hi to Requena the Livyatan, an invincible predator 12 million years ago in the sea. The online sale of…" FALSE 0 NA 2021-10-03 17:04:33 FALSE NA "1444709973154414596" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "Toxin_Toxzon" 66 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:04:27 FALSE NA "1444709948974264326" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "assassysin" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:04:15 FALSE NA "1444709895794724865" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "atumns" 2556 TRUE FALSE NA NA
"RT @stormxio: It’s time to share your #CashbackSupercharged again!<U+0001F4B0>(a thread)

Let’s face it - earning crypto while online shopping feels m…" FALSE 0 NA 2021-10-03 17:03:35 FALSE NA "1444709729025073159" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "RChiosa" 9 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:03:13 FALSE NA "1444709635210940420" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "KartYeeyee" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:03:03 FALSE NA "1444709593104355328" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Kel4paran" 2556 TRUE FALSE NA NA
"Many retailers—selling furniture, rugs, luxury stoves—have digital tools that let you customize a product or “drop”… https://t.co/W0TjpFO7oR" FALSE 0 NA 2021-10-03 17:02:34 TRUE NA "1444709473118048267" NA "<a href=\"https://www.advisorstream.com\" rel=\"nofollow\">AdvisorStream v2</a>" "KruseAM" 0 FALSE FALSE NA NA
"Amazon com  Online Shopping for Electronics  Apparel  Computers  Books  DVDs  amp  more https://t.co/lFGDaC21Dk https://t.co/rdngayrlvL" FALSE 0 NA 2021-10-03 17:02:01 FALSE NA "1444709335163031554" NA "<a href=\"https://infoapp.com\" rel=\"nofollow\">InfoApp Sales and Marketing Tool</a>" "InfoAppTo" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:01:58 FALSE NA "1444709320428511236" NA "<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>" "chiyu2_" 2556 TRUE FALSE NA NA
"We’ve registered with easyfundraising, a great site where you can raise money for Friends of Downe Activity Centre… https://t.co/ElxOP8mpor" FALSE 0 NA 2021-10-03 17:01:57 TRUE NA "1444709316079013893" NA "<a href=\"https://www.later.com\" rel=\"nofollow\">LaterMedia</a>" "FriendsofDowne" 0 FALSE FALSE NA NA
"Someone- what’s your hobby 
Me- i scroll online shopping apps for hours without buying a single stuff" FALSE 6 NA 2021-10-03 17:01:38 FALSE NA "1444709238903697415" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "Iamshashank318" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:01:28 FALSE NA "1444709197703049217" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "Boruto85219577" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:01:09 FALSE NA "1444709118892150784" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "edddwwwwiiinnn" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:00:58 FALSE NA "1444709068791287812" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "mondstadtkaeya" 2556 TRUE FALSE NA NA
"*As soon as festive season starts*

Online shopping sites : https://t.co/rdO3MQIA0Y" FALSE 0 NA 2021-10-03 17:00:53 FALSE NA "1444709049006579717" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "JustSurajJokes" 0 FALSE FALSE NA NA
"#AllNewforAutumn online now! shop the newest collection https://t.co/0yhLSRUkVr 
.
.
 #Gaudieandco #ShopLocal… https://t.co/pMyxIT4xgy" FALSE 0 NA 2021-10-03 17:00:50 TRUE NA "1444709038239805443" NA "<a href=\"https://www.planoly.com\" rel=\"nofollow\">PLANOLY</a>" "gaudieandco" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:00:47 FALSE NA "1444709023954006017" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "linkstartu" 2556 TRUE FALSE NA NA
"RT @taboada_fabiola: @scarlette_J_V Online shopping <U+0001F92A>" FALSE 0 NA 2021-10-03 17:00:39 FALSE NA "1444708990563373056" NA "<a href=\"http://fouryoursucess.com/marketing/\" rel=\"nofollow\">Digital Shopping</a>" "fourones1" 1 TRUE FALSE NA NA
"@scarlette_J_V Online shopping <U+0001F92A>" FALSE 1 "scarlette_J_V" 2021-10-03 17:00:25 FALSE "1444457493866942473" "1444708930794426372" "224040806" "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "taboada_fabiola" 1 FALSE FALSE NA NA
"#NOWPLAYING :  Blinding Lights by @TheWeeknd Listen online at https://t.co/T7Sx1Ck34v ...Where the Extraordinary Ha… https://t.co/mHQ6iQHClt" FALSE 0 NA 2021-10-03 17:00:17 TRUE NA "1444708899479764995" NA "<a href=\"https://www.autopo.st\" rel=\"nofollow\">autopo.st - platinumvibes8</a>" "platinumvibes8" 0 FALSE FALSE NA NA
"Are your children always online? Have their grades dropped? Do they argue and fight you when asked to get off? If t… https://t.co/oRhmd6Euwn" FALSE 0 NA 2021-10-03 17:00:08 TRUE NA "1444708859935928324" NA "<a href=\"https://postcron.com\" rel=\"nofollow\">Postcron App</a>" "NathanDriskell" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:00:02 FALSE NA "1444708834912604163" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "qbcuofbc" 2556 TRUE FALSE NA NA
"RT @WinningPositive: Amazon has a steady lead among grocers when it comes to where online grocery shoppers choose to shop: 62.5% of consume…" FALSE 0 NA 2021-10-03 17:00:02 FALSE NA "1444708833817890819" NA "<a href=\"https://zlappo.com\" rel=\"nofollow\">Zlappo.com</a>" "WinningPositive" 1 TRUE FALSE NA NA
"RT @gsrescueelite: Katie is reminding everyone who shops online to use Easy Fundraising and Amazon Smile as a % of your sale is donated to…" FALSE 0 NA 2021-10-03 17:00:01 FALSE NA "1444708832698150922" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "JulieFulwell" 26 TRUE FALSE NA NA
"From spooky decorations to eerie light-up products, we have what you need to make your house creepy this year <U+0001F383><U+0001F47B>

M… https://t.co/D2ZoVizxVa" FALSE 0 NA 2021-10-03 17:00:01 TRUE NA "1444708830059933698" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "betterware" 0 FALSE FALSE NA NA
"Starting this week, Google Shopping is rolling out an update in hopes of making online shopping easier. https://t.co/nPp7gAIjHV" FALSE 0 NA 2021-10-03 17:00:00 FALSE NA "1444708829208383491" NA "<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>" "modernretail" 0 FALSE FALSE NA NA
"@Riley_Gates I'm so hopeful that Amazon gets the Sunday Ticket online distribution next year." FALSE 0 "Riley_Gates" 2021-10-03 16:59:48 FALSE "1444708312918990851" "1444708777761050630" "125104672" "<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>" "troycoverdale" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:59:47 FALSE NA "1444708774304911364" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "solus_sam" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:59:38 FALSE NA "1444708734572371973" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "D7KUU" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:59:31 FALSE NA "1444708705468133379" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "PenguinMilkTea" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:59:14 FALSE NA "1444708632776646663" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Saoynin" 2556 TRUE FALSE NA NA
"RT @pnso_official: Ta-da, please say hi to Requena the Livyatan, an invincible predator 12 million years ago in the sea. The online sale of…" FALSE 0 NA 2021-10-03 16:59:10 FALSE NA "1444708617366687748" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "nyrorosaurus" 66 TRUE FALSE NA NA
"RT @_sarcastic1_: My Next Relationship Gone Be So Damn LowKey We Shopping Online For Groceries<U+0001F629><U+0001F4AF>" FALSE 0 NA 2021-10-03 16:58:59 FALSE NA "1444708570541461513" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "BoutiqueLoyal" 1 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:58:21 FALSE NA "1444708412042874880" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "_ginsy" 2556 TRUE FALSE NA NA
"Trade Idea #006 Stitch Fix $SFIX 

A technical analysis into the online retailer that aims to answer \"what should I… https://t.co/7GHXwAolhn" FALSE 0 NA 2021-10-03 16:58:17 TRUE NA "1444708396825866240" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "tomthetrader1" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:57:34 FALSE NA "1444708216445751306" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "C0C0G04TM1LK" 2556 TRUE FALSE NA NA
"<U+2757>50% OFF<U+0001F525> ***USE CODE:  NGS23GQO
<U+0001F60E> Did you snag this deal ?
<U+0001F31F><U+0001F31F><U+0001F31F> SHOP DEALS <U+0001F449> https://t.co/g7GjuLq2QC
DEAL MIGHT EXP… https://t.co/Rvz7x0mBjj" FALSE 1 NA 2021-10-03 16:57:30 TRUE NA "1444708196581531651" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "PerfectGoods2" 0 FALSE FALSE NA NA
"@tcl_india 
Hi TCL India team,
I bought TCL 126CM (Model:50P615)
tv from Amazon on 28-10-2020. Last 3months there w… https://t.co/39ALlGtHpK" FALSE 0 "tcl_india" 2021-10-03 16:57:14 TRUE NA "1444708129426395143" "739830189153095680" "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "afrozsyedghalib" 0 FALSE FALSE NA NA
"Every time I do this online shopping .. I making a mistake ashsjsjferjwjsjb" FALSE 0 NA 2021-10-03 16:57:12 FALSE NA "1444708124779220994" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "BowBeforeArie" 0 FALSE FALSE NA NA
"RT @gsrescueelite: Katie is reminding everyone who shops online to use Easy Fundraising and Amazon Smile as a % of your sale is donated to…" FALSE 0 NA 2021-10-03 16:57:10 FALSE NA "1444708114423500801" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Ramiro6668" 26 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:57:07 FALSE NA "1444708103791026177" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "gracefmbooks14" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:57:01 FALSE NA "1444708077505183750" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "FreeeeeLance" 2556 TRUE FALSE NA NA
"@JasonTorchinsky Someone has to! 

When I was like 19, I bought a Gremlin off ebay because I got excited that I fou… https://t.co/1ujhkeecmf" FALSE 0 "JasonTorchinsky" 2021-10-03 16:56:36 TRUE "1444706947945705475" "1444707972844716036" "439399092" "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "MLE_Online" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:56:32 FALSE NA "1444707953261654017" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "eIbroma" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:56:21 FALSE NA "1444707910651576321" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "CISC005" 2556 TRUE FALSE NA NA
"RT @gsrescueelite: Katie is reminding everyone who shops online to use Easy Fundraising and Amazon Smile as a % of your sale is donated to…" FALSE 0 NA 2021-10-03 16:56:11 FALSE NA "1444707867215417347" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "Hewitt01Mike" 26 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:55:54 FALSE NA "1444707797661147137" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "asameua" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:55:48 FALSE NA "1444707772290027520" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Koh_Rhi" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:55:34 FALSE NA "1444707709899710464" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "Miledys_S" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:55:31 FALSE NA "1444707699971829760" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Stephan99220280" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:55:16 FALSE NA "1444707637585711113" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "cIoudaether" 2556 TRUE FALSE NA NA
"My Next Relationship Gone Be So Damn LowKey We Shopping Online For Groceries<U+0001F629><U+0001F4AF>" FALSE 0 NA 2021-10-03 16:55:02 FALSE NA "1444707575816130567" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "_sarcastic1_" 1 FALSE FALSE NA NA
"@cindynorth1 @tacticalkebabs Indeed! Someone else sent me the location of a local synagogue that has a gift shop wi… https://t.co/rg4ubjPFq3" FALSE 3 "cindynorth1" 2021-10-03 16:54:57 TRUE "1444703297106022408" "1444707555507277824" "372175334" "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "crockerthoughts" 0 FALSE FALSE NA NA
"<U+2757>Save 40% on Yankee Candle Large Jar<U+0001F525> ***CLIP QPON
<U+0001F60E> Did you snag this deal ?
<U+0001F31F><U+0001F31F><U+0001F31F> SHOP DEALS <U+0001F449>… https://t.co/YJU6xhM44I" FALSE 1 NA 2021-10-03 16:54:56 TRUE NA "1444707550956490753" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "PerfectGoods2" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:54:55 FALSE NA "1444707547991007233" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "WhatsOxyjin" 2556 TRUE FALSE NA NA
"@Flipkart Flipkart is the best online shopping" FALSE 0 "Flipkart" 2021-10-03 16:54:41 FALSE "1443977645008379906" "1444707488108974087" "57947109" "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "SYEDMan61269786" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:54:28 FALSE NA "1444707433524383750" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "ZehanLi5" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:54:22 FALSE NA "1444707411495841792" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "aidenkreuz" 2556 TRUE FALSE NA NA
"RT @pnso_official: Ta-da, please say hi to Requena the Livyatan, an invincible predator 12 million years ago in the sea. The online sale of…" FALSE 0 NA 2021-10-03 16:54:10 FALSE NA "1444707358463037444" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Tricerasun1353" 66 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:54:05 FALSE NA "1444707338779234311" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "storagestorage0" 2556 TRUE FALSE NA NA
"thought I’d be saving not going out this weekend but no I decided to do online shopping instead :)" FALSE 0 NA 2021-10-03 16:53:54 FALSE NA "1444707290985246721" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "gabtorres7987" 0 FALSE FALSE NA NA
