rating,reviewText
5.0,"It is refreshing to wear these earrings because they don't make my earlobes swell up. My ears are too sensitive for ""sensitive"" earrings and I was about ready to give up and resign myself to clip earrings. Fortunately I found these. They are more expensive than other earrings due to the metal, but well worth it. It's like my ears don't even know they're there :) ."
5.0,"I just had my ears pierced a little over two months ago and I thought the minor discomfort was part of the healing process.  I decided to try these but honestly didn't expect there to be a difference.  Within hours of wearing these my ears had no discomfort at all.  Again, my ears weren't red or swollen but just had a very minor ache.  I'd recommend these to people even if it's not the last resort to wearing earrings.

I also really like the small simple style so these were perfect for me anyway.  I've found it very difficult to find earrings I like in stores because they all seem so big and overbearing.  I'm sure that I will end up buying more pairs of these in a similar style and definitely give preference to titanium earrings."
5.0,"I just got these a few weeks ago (along with a pair of titanium hoops) and love them. I haven't been able to wear earrings for years because of nickel allergies, and these earrings haven't given me any trouble whatsoever!"
5.0,these are the only earrings that have not caused an allergic reaction and they are very pretty too.
5.0,"I have only owned these earrings a few weeks, but I'm quite pleased with them.  Before buying these, I had been completely unable to wear earrings for many years.  My earlobes would swell, turn red, and bleed immediately after inserting even ""hypoallergenic"" earrings.  I've tried other brands, such as Simply Whispers, which I really wanted to love, but I simply couldn't wear them.  I'd given up and given away most of my earrings and hadn't bought or tried any earrings for a few years.

When these first arrived, I had trouble inserting them because my earlobes had almost grown closed, and I traumatized my ears a bit.  Over the next several days, I removed them at night, then irritated my ears again when I reinserted them in the morning.  Finally, I decided to just leave them in and allow my ears to heal, and that has worked just fine.  Now my ears have healed, and I haven't bothered to remove the earrings for a couple of weeks.

I noticed that in a review for one of the other styles, the reviewer had two complaints: that the ad appeared misleading in that it looked like you were purchasing three pairs of earrings, and that the 3mm size was tiny.  So take note:  you are ordering just one pair of earrings, and the 3mm (mini) size earrings are very small - take a look at a ruler to get an idea - but they provide an understated bit of sparkle.

I highly recommend these for people with metal allergies - I'm planning to get another pair."
2.0,The Suspenders are fine except one of the tongues or the buckles was put it the wrong way and the fastening of this one is not as secure as the correct buckle and the tongue sticks awkwardly out. I will have to take it to a leather shop to have the problem fixed. Other than that product is fine.
5.0,"These leather suspenders I highly recomend. They are simple, and compfortable. Easy to adjust. Look great!"
5.0,"I have worn suspenders for quite a few years.  It is nice to buy a pair that really feels solid and comfortable.  From the construction to the materials used, I am impressed.  They look good in casual dress or on my jeans and really stand up to a hard days work."
5.0,I got these for my boyfriend and they have worked out really well--nice quality materials and good performance.
4.0,Actually I didn't buy them as liner gloves. I was looking for a light weight glove with some flexibility and durability. These fit the bill. They are perfect for dog walking in moderate winter weather. Fingers are a little short but they still work.
2.0,"I think this is a case of getting what you pay for.  Although they look ok and are pretty warm, the pair I got for my husband has some definite problems.  The two gloves (sized L/XL) are two different sizes.  One glove fits fine, but the other is much smaller (the fingers don't fit all the way on one side).  Because of this bad fit, he wore them for the first time this morning and the smaller glove is already ripping.  No good."
4.0,"1.13.12 UPDATE: I've now been using these gloves through all of December and half of January and I continue to recommend them. Many of my runs have taken place in temperatures within the 20s, and while the gloves are not winter gloves, they are working out. My hands are cold as I start my run and the tips of my fingers do sting initially, but after about half a mile or a mile, I've warmed up enough that my hands become comfortable. In fact, I think if I were wearing anything heavier, the warmth of the gloves might become too much. These allow me to go for 8-mile runs without feeling like I have to take them off. As long as you're okay starting your run with slightly cold hands, these could be for you.

ORIGINAL REVIEW: I've been using these gloves on and off for about a month now, and so far I've found them to be a great purchase. I usually go for runs around 5 a.m., and this has allowed me to test them out in temps that have resided in the mid-30s. So far, so good. They do the job. If I remember, I'll post an update once the weather gets even colder.

My only concern is the fit. I'm an average size guy, and there's something a little uncomfortable about the way they fit, as if the fingers could've been cut lower, that makes me think I'd have an issue with them if I were a taller guy with bigger hands. That being said, I'd purchase these again if I had to do it all over again. At this price point, you can't beat them."
5.0,Had a pair of these for the past few years. same thing... great gloves for running and even short (1-2 hour long) bike rides in the cold.
3.0,"These gloves are good for running, but won't keep your hands warm if it's too windy. My only concern is about their durability. I've used them last winter for running (in Fayetteville, AR) and while traveling in Montana (Glacier and Yellowstone) during the end of Spring. The knits are starting to get loose, and I don't know how much longer they'll endure."
5.0,I ordered these for my husband who trains as a triathlete. He loves wearing them in the cooler months to keep his hands warm while he's running or biking.
5.0,"Awesome gloves.  They're thin enough that you almost forget you have them on, but they're thick enough to keep my hands warm.  I'm in California so the coldest weather I have to run in is probably about 50 degrees.  Hard to beat at this price"
5.0,"Good product, good transaction"
5.0,These are really pretty. I love Silver Forest earrings. Wish I could find merchants who honor their earring club. No one seems to carry the card/stickers needed to receive a free pair.
5.0,I would buy jewerly from this buyer again. The earrings where nice and shipped right away!
5.0,These are just gorgeous.  I received several compliments on them when i wore them to work.  seller was prompt.  very satisfied with service.
3.0,"Over quite a few years I've bought and worn Silver Forest jewelry, especially earrings, and used to get so many compliments on them.  Unfortunately, their aesthetic has changed over time, away from what made their pieces special and interesting.  Many of their designs used to be kind of contemporary and unusual, with the multiple, individually moving components, contrasting materials and textures, and subtle color palettes creating a unique feel.  They were sort of sophisticated but relatively affordable.  Some designs veered more towards conventionally pretty or delicate, while some were more like abstract modern art pieces, but all were pretty well made and special.  These days, it seems they go more towards an overly ""pretty"" aesthetic, too overwhelmingly using motifs such as lace, flowers, tear-drop shapes, and such, all made with less interesting materials.  Such things are not bad, necessarily, but the variety is gone, and their pieces are just not very special anymore.  I'm very disappointed and will probably not seek out their products as I have over the years.  Too bad."
5.0,Nice fun earrings good color. Not heavy or cheap looking. Certainly not what you would want for a formal but great easy wearing earrings.
1.0,"This product has a different pitcher then what you actually get.. don't get it.. the back is not Turquoise, its just a pic of plastic."
2.0,"Before I purchased these earrings, others had commented on their poor quality.  These are cute but not really a very high quality."
5.0,Package arrived promptly and in good shape. Loved these beautiful earrings. I ordered them for a gift but almost kept them for myself. May have to order another pair for myself.
5.0,Purchased with a necklace on amazon and these match perfectly.  The size is just right and they are so unique that I get compliments on them.
1.0,"I was very disappointed when I received these earrings I ordered from Amazon. They are very small and the ""turquoise"" background is actually plastic with a small piece of turquoise mounted to the metal (not silver). When I purchased these, they were advertised as sale priced from $40 to $18.  Now they're advertised at $13.50. These are not the quality I expected, and I won't be ordering jewelry again."
5.0,"received ear rings and very very happy with the quality, color and style.  Will purchase another pair for my daughter. The only down side, is it needs some kind of backing. these come off my ears without me knowing it and I don't want to lose them. Otherwise, they are great!!!!!"
5.0,Bought for a gift and they look so good want to keep for myself!  I am impressed with these earrings.
2.0,"Watch out with these.  I bought them for my wife and after less than three (3) weeks they started falling apart.  The center turquoise is glued on and it just fell off.  They are useless now.  Also, the picture is somewhat deceptive.  The back of the earring is a flat separate piece of plastic and is not connected to the metal part of the earring so it flaps around.

These are cheap and fall apart quickly."
5.0,"These are the most comfortable things I have ever worn on my feet; I bought them for gymnastics and I'm so happy that I did; They are so comfortable! But just in case you didn't know: the straps are only attached at the back of the slipper; So you have to sew them into the front- I'm assuming for proper fit; This is a bit annoying- coupled with the fact that there is no loop or area of fabric to sew them into without having to see your handy work through the front(no good if your terrible at sewing like me); And they soil easily;This should be expected of course(especially if they are white). Still, as my title suggests,they earn 5 stars and more because they truly are that comfortable; Especially when walking on carpet; I can't well explain why, because the shoes really have no padding; But they hug your feet and support your arch to an extent (I'm assuming these would not be as comfortable for flat footed people).The price is great and, if you are into ballet, what do you have to loose."
5.0,Hope they keep making these! Great fit - very comfortable. Wear quite well.  Half the price of Birks.
5.0,So far I am very pleased with these less expensive versions of Birkenstocks. Haven't noticed any lack in quality and of course love the comfort of these shoes. Birkenstocks (and Betula's) are the best!
5.0,"The nice thing with Birkenstock brand is that sizes are incredibly consistent across the various divisions (Birkenstock, Birkis, Papillio, Betula, etc.); so when your favorite relative laments that they can't find ""tan"" suede 2-strap birkenstocks to replace their old ones in their neck of the woods, it's a sure bet you'll get the size, quality, and color you ask for when you order them sight unseen.  There are lots of imitations out there, but only Birkenstock products hold up the way you need them to.  A bit more to pay for the guarantee of durability and craftsmanship that will make these sandals last SOOOO much longer than the ""knock-offs"", but well worth the comfort and peace of mind."
5.0,I had a pair of these stolen while returning from a cruise. I am so happy to have a new pair. They are my favorite shoes.
